collocate	1810	1820	1830	1840	1850	1860	1870	1880	1890	1900	1910	1920	1930	1940	1950	1960	1970	1980	1990	2000
accept	0	0	0	1	0	0	1	4	1	6	6	5	5	3	1	8	2	6	2	1
act	0	0	0	0	0	4	1	1	4	5	8	11	8	6	4	9	3	2	7	2
add	0	1	2	0	0	1	2	3	2	3	5	4	4	1	2	5	3	2	6	2
allow	0	0	0	0	2	0	1	1	2	4	2	2	1	0	3	3	3	6	5	9
answer	0	0	2	0	1	0	0	6	2	1	7	9	3	4	7	5	3	3	5	6
arrest	0	0	0	1	0	1	0	4	0	9	1	1	7	4	0	1	7	2	4	3
ask	0	0	3	6	8	24	29	38	29	66	71	85	67	74	68	67	52	47	64	59
attack	0	0	0	0	2	2	2	1	3	3	5	5	1	7	6	4	2	5	9	9
be	3	17	37	55	74	175	226	240	292	442	820	826	1051	1227	1198	1165	1204	1239	1801	1863
beat	1	1	0	1	2	3	2	1	4	2	11	20	10	5	11	9	7	8	7	9
become	0	0	0	1	1	6	5	4	7	8	21	12	18	16	17	29	23	18	26	18
begin	0	0	4	1	4	4	4	6	13	15	14	17	8	9	6	10	4	3	4	4
believe	0	1	0	0	1	0	1	0	1	3	2	7	5	4	3	3	3	8	5	7
blow	0	0	1	2	3	1	1	0	4	1	10	6	9	7	6	11	17	12	12	17
break	0	0	2	3	6	6	2	4	5	5	23	22	20	19	15	15	24	20	17	36
bring	0	2	2	4	7	4	9	9	10	18	29	35	23	25	27	15	20	17	38	26
build	0	0	1	0	2	3	6	8	3	9	18	16	21	18	16	24	15	9	12	13
burn	0	1	1	0	0	3	1	2	3	4	7	0	10	3	8	2	7	6	10	13
bury	0	0	2	0	0	0	3	2	1	0	3	0	4	4	4	4	3	3	5	3
buy	0	0	1	1	5	8	5	5	8	30	27	25	32	30	35	27	30	21	34	34
call	0	0	2	3	2	4	8	7	8	17	26	32	31	39	46	49	62	38	56	45
carry	0	0	6	2	4	4	9	5	4	7	11	13	8	9	10	6	8	5	8	12
catch	0	0	0	1	1	1	3	5	4	4	8	5	10	7	3	10	10	18	16	27
cause	0	0	1	0	0	0	0	0	0	0	0	0	1	3	3	8	4	6	7	8
change	0	0	0	0	2	3	2	6	6	6	10	11	19	16	13	29	24	29	44	70
check	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	4	6	6	7	12
clean	0	0	0	0	0	0	0	1	0	2	4	5	5	1	3	5	2	1	8	8
clear	0	0	0	0	2	1	1	2	0	5	11	3	3	2	6	4	3	3	0	2
climb	0	0	0	0	0	0	0	1	2	5	2	4	5	4	1	1	4	2	5	2
close	0	0	0	0	1	0	1	1	1	2	3	3	3	0	4	4	3	3	3	5
come	0	0	1	2	1	1	8	5	10	9	24	29	36	34	40	63	65	80	101	126
continue	0	0	1	0	0	1	0	1	1	3	7	3	5	13	14	6	18	13	16	21
cook	0	0	0	0	0	0	1	0	0	1	5	4	2	6	2	3	2	2	3	7
cost	0	0	1	0	1	0	0	1	2	6	9	7	13	16	10	20	17	16	24	18
cross	0	0	0	1	3	2	2	0	0	0	2	0	1	3	7	5	1	5	1	4
cry	0	0	0	0	1	0	0	4	6	8	7	17	19	31	23	15	13	11	22	18
cut	1	0	0	4	0	4	3	3	2	11	15	14	12	26	15	9	18	17	22	17
dance	0	0	1	0	0	4	1	2	4	3	7	6	5	2	3	3	3	3	4	3
destroy	0	0	0	1	0	0	1	1	3	3	0	2	1	3	2	8	9	4	6	9
die	0	2	7	7	12	30	27	39	26	28	39	47	55	57	69	81	89	98	117	162
do	0	5	15	19	46	67	73	107	144	217	349	318	320	303	311	310	314	293	398	373
draw	1	0	2	0	1	1	0	2	0	3	6	2	0	1	5	3	3	2	2	6
drink	0	2	0	0	1	1	0	1	0	0	2	3	3	3	3	8	2	4	3	5
drive	0	0	0	1	4	3	8	9	8	10	20	15	10	14	11	9	15	11	21	18
drop	0	0	0	0	1	0	6	3	1	7	5	5	10	7	12	8	8	13	12	8
eat	0	0	3	2	4	1	6	5	5	11	8	8	14	12	19	10	18	15	27	24
