decade	coll	BE going to	will
1810	accept	0	2
1810	act	0	4
1810	add	0	6
1810	admit	0	14
1810	affect	0	0
1810	afford	0	10
1810	agree	0	3
1810	allow	0	5
1810	answer	0	17
1810	appear	0	22
1810	apply	0	6
1810	arise	0	3
1810	arrest	0	0
1810	arrive	0	5
1810	ask	0	4
1810	attack	0	0
1810	attempt	0	3
1810	attend	0	4
1810	be	3	891
1810	bear	0	10
1810	beat	1	0
1810	become	0	26
1810	begin	0	4
1810	believe	0	5
1810	benefit	0	0
1810	blow	0	0
1810	break	0	8
1810	bring	0	14
1810	build	0	0
1810	burn	0	2
1810	bury	0	0
1810	buy	0	6
1810	call	0	10
1810	carry	0	4
1810	catch	0	0
1810	cause	0	2
1810	cease	0	10
1810	change	0	2
1810	check	0	0
1810	choose	0	1
1810	clean	0	0
1810	clear	0	0
1810	climb	0	0
1810	close	0	0
1810	come	0	27
1810	consider	0	7
1810	contain	0	0
1810	continue	0	6
1810	cook	0	0
1810	cost	0	1
1810	cover	0	2
1810	create	0	1
1810	cross	0	0
1810	cry	0	0
1810	cut	1	2
1810	dance	0	0
1810	decide	0	3
1810	deliver	0	4
1810	demand	0	1
1810	depend	0	7
1810	destroy	0	3
1810	determine	0	3
1810	develop	0	0
1810	die	0	6
1810	disappear	0	0
1810	discover	0	3
1810	do	0	54
1810	draw	1	4
1810	drink	0	0
1810	drive	0	4
1810	drop	0	3
1810	eat	0	2
1810	enable	0	9
1810	end	0	5
1810	enjoy	0	2
1810	enter	0	3
1810	excuse	0	1
1810	explain	0	6
1810	explode	0	0
1810	face	0	0
1810	fail	0	2
1810	faint	0	0
1810	fall	0	10
1810	feed	0	0
1810	feel	0	8
1810	fight	0	0
1810	fill	0	1
1810	find	0	41
1810	finish	0	0
1810	fire	0	0
1810	fix	0	0
1810	fly	0	6
1810	follow	0	22
1810	force	0	4
1810	forget	0	3
1810	forgive	0	2
1810	form	0	6
1810	furnish	0	8
1810	gain	0	1
1810	get	0	3
1810	give	3	50
1810	go	0	39
1810	grow	0	5
1810	handle	0	0
1810	hang	0	0
1810	happen	0	5
1810	hate	0	0
1810	have	0	111
1810	hear	0	9
1810	help	0	4
1810	hire	0	0
1810	hit	0	0
1810	hold	0	8
1810	hunt	0	0
1810	hurt	0	0
1810	improve	0	1
1810	include	0	2
1810	increase	0	0
1810	insist	0	0
1810	introduce	0	0
1810	join	1	6
1810	jump	0	0
1810	keep	0	13
1810	kick	0	0
1810	kill	0	1
1810	kiss	0	0
1810	knock	0	0
1810	know	0	2
1810	land	0	0
1810	last	0	0
1810	lay	0	6
1810	lead	0	11
1810	learn	0	1
1810	leave	2	11
1810	let	0	7
1810	lie	0	5
1810	like	0	2
1810	listen	0	0
1810	live	1	10
1810	look	0	6
1810	lose	0	2
1810	love	0	5
1810	make	1	59
1810	marry	1	6
1810	mean	0	0
1810	meet	0	10
1810	miss	0	0
1810	move	0	4
1810	murder	1	0
1810	need	0	2
1810	occur	0	2
1810	offer	0	1
1810	open	0	3
1810	paint	0	0
1810	pardon	0	7
1810	pass	0	6
1810	pay	0	6
1810	perceive	0	3
1810	permit	0	14
1810	pick	0	0
1810	place	0	4
1810	play	0	0
1810	please	0	5
1810	present	0	6
1810	prevent	0	3
1810	proceed	0	4
1810	produce	0	4
1810	propose	0	0
1810	protect	0	9
1810	prove	0	25
1810	provide	0	2
1810	pull	0	0
1810	put	0	8
1810	quit	0	0
1810	rain	2	0
1810	raise	0	2
1810	reach	0	4
1810	read	0	2
1810	receive	0	9
1810	recognize	0	0
1810	reduce	0	0
1810	remain	0	14
1810	remember	0	3
1810	render	0	9
1810	report	0	0
1810	require	0	7
1810	rest	0	1
1810	result	0	4
1810	retire	0	0
1810	return	0	19
1810	ride	0	0
1810	rise	0	8
1810	ruin	0	0
1810	run	1	1
1810	sail	0	0
1810	satisfy	0	3
1810	save	0	7
1810	say	2	11
1810	secure	0	4
1810	see	0	28
1810	seek	0	4
1810	seem	0	2
1810	sell	0	4
1810	send	1	6
1810	serve	0	13
1810	set	1	2
1810	settle	0	1
1810	share	0	1
1810	shoot	0	0
1810	show	0	13
1810	shut	0	0
1810	sing	0	6
1810	sit	0	5
1810	sound	0	0
1810	speak	0	6
1810	spend	1	1
1810	stand	0	15
1810	start	0	1
1810	stay	0	3
1810	steal	0	0
1810	step	0	0
1810	stick	0	0
1810	stop	0	4
1810	strike	0	1
1810	study	0	0
1810	succeed	0	2
1810	sue	0	0
1810	suffer	0	9
1810	suffice	0	6
1810	suggest	0	0
1810	supply	0	1
1810	support	0	1
1810	surprise	0	0
1810	survive	0	0
1810	take	1	42
1810	talk	0	4
1810	teach	0	4
1810	tear	0	0
1810	tell	2	25
1810	tend	0	6
1810	think	0	11
1810	throw	0	3
1810	travel	0	0
1810	treat	0	0
1810	trust	1	0
1810	try	0	7
1810	turn	0	6
1810	understand	0	2
1810	use	0	2
1810	visit	0	3
1810	vote	0	0
1810	wait	0	2
1810	wake	0	0
1810	walk	0	0
1810	want	0	2
1810	wash	0	0
1810	waste	0	0
1810	watch	0	4
1810	wear	0	2
1810	win	0	1
1810	work	0	3
1810	write	0	4
1810	yield	0	5
1820	accept	0	14
1820	act	0	25
1820	add	1	30
1820	admit	0	59
1820	affect	0	6
1820	afford	0	35
1820	agree	0	24
1820	allow	0	42
1820	answer	0	67
1820	appear	0	98
1820	apply	0	12
1820	arise	0	24
1820	arrest	0	0
1820	arrive	0	6
1820	ask	0	30
1820	attack	0	0
1820	attempt	0	10
1820	attend	0	21
1820	be	17	3641
1820	bear	0	57
1820	beat	1	0
1820	become	0	106
1820	begin	0	19
1820	believe	1	41
1820	benefit	0	3
1820	blow	0	0
1820	break	0	17
1820	bring	2	75
1820	build	0	0
1820	burn	1	7
1820	bury	0	0
1820	buy	0	6
1820	call	0	49
1820	carry	0	23
1820	catch	0	0
1820	cause	0	18
1820	cease	0	23
1820	change	0	10
1820	check	0	0
1820	choose	0	5
1820	clean	0	0
1820	clear	0	0
1820	climb	0	0
1820	close	0	6
1820	come	0	153
1820	consider	0	15
1820	contain	0	8
1820	continue	0	45
1820	cook	0	0
1820	cost	0	10
1820	cover	0	2
1820	create	0	4
1820	cross	0	0
1820	cry	0	0
1820	cut	0	8
1820	dance	0	0
1820	decide	0	11
1820	deliver	0	5
1820	demand	0	6
1820	depend	0	14
1820	destroy	0	17
1820	determine	0	4
1820	develop	0	1
1820	die	2	31
1820	disappear	0	2
1820	discover	0	12
1820	do	5	250
1820	draw	0	16
1820	drink	2	0
1820	drive	0	16
1820	drop	0	6
1820	eat	0	11
1820	enable	0	66
1820	end	0	12
1820	enjoy	0	6
1820	enter	0	17
1820	excuse	0	23
1820	explain	0	24
1820	explode	0	0
1820	face	0	0
1820	fail	0	8
1820	faint	1	0
1820	fall	0	29
1820	feed	0	0
1820	feel	0	43
1820	fight	3	14
1820	fill	0	7
1820	find	0	255
1820	finish	0	0
1820	fire	0	0
1820	fix	0	0
1820	fly	0	22
1820	follow	0	67
1820	force	0	2
1820	forget	0	11
1820	forgive	0	34
1820	form	0	22
1820	furnish	0	32
1820	gain	0	11
1820	get	1	25
1820	give	2	256
1820	go	0	205
1820	grow	0	9
1820	handle	0	0
1820	hang	0	0
1820	happen	0	9
1820	hate	0	0
1820	have	5	417
1820	hear	0	47
1820	help	1	15
1820	hire	0	0
1820	hit	0	0
1820	hold	1	14
1820	hunt	0	0
1820	hurt	1	0
1820	improve	0	3
1820	include	0	0
1820	increase	0	14
1820	insist	0	0
1820	introduce	0	0
1820	join	1	21
1820	jump	0	0
1820	keep	1	39
1820	kick	0	0
1820	kill	0	18
1820	kiss	0	0
1820	knock	0	0
1820	know	0	41
1820	land	0	0
1820	last	0	7
1820	lay	2	17
1820	lead	0	52
1820	learn	0	24
1820	leave	2	64
1820	let	0	39
1820	lie	0	12
1820	like	0	2
1820	listen	0	18
1820	live	2	29
1820	look	2	30
1820	lose	0	18
1820	love	0	27
1820	make	2	237
1820	marry	1	13
1820	mean	0	1
1820	meet	1	43
1820	miss	0	1
1820	move	0	4
1820	murder	0	0
1820	need	0	8
1820	occur	0	12
1820	offer	1	9
1820	open	0	20
1820	paint	0	0
1820	pardon	0	21
1820	pass	2	27
1820	pay	2	12
1820	perceive	0	53
1820	permit	0	54
1820	pick	0	0
1820	place	0	17
1820	play	0	6
1820	please	0	22
1820	present	0	8
1820	prevent	0	16
1820	proceed	0	24
1820	produce	0	25
1820	propose	1	0
1820	protect	0	25
1820	prove	0	55
1820	provide	0	10
1820	pull	0	0
1820	put	3	44
1820	quit	0	0
1820	rain	0	0
1820	raise	1	10
1820	reach	0	9
1820	read	0	15
1820	receive	0	42
1820	recognize	0	0
1820	reduce	0	2
1820	remain	0	62
1820	remember	0	36
1820	render	0	34
1820	report	0	1
1820	require	0	34
1820	rest	0	10
1820	result	0	9
1820	retire	0	0
1820	return	0	51
1820	ride	0	0
1820	rise	0	24
1820	ruin	1	0
1820	run	0	20
1820	sail	0	0
1820	satisfy	0	19
1820	save	0	30
1820	say	22	114
1820	secure	0	15
1820	see	1	134
1820	seek	0	18
1820	seem	0	15
1820	sell	0	9
1820	send	1	38
1820	serve	0	47
1820	set	1	23
1820	settle	0	9
1820	share	0	6
1820	shoot	0	0
1820	show	0	83
1820	shut	1	0
1820	sing	0	4
1820	sit	0	9
1820	sound	0	0
1820	speak	4	38
1820	spend	0	7
1820	stand	0	29
1820	start	0	2
1820	stay	4	20
1820	steal	0	0
1820	step	0	0
1820	stick	0	0
1820	stop	0	10
1820	strike	0	11
1820	study	0	0
1820	succeed	0	10
1820	sue	0	0
1820	suffer	0	19
1820	suffice	0	13
1820	suggest	0	0
1820	supply	0	13
1820	support	0	15
1820	surprise	0	0
1820	survive	0	3
1820	take	4	191
1820	talk	0	10
1820	teach	0	26
1820	tear	0	0
1820	tell	11	146
1820	tend	0	12
1820	think	0	55
1820	throw	0	20
1820	travel	0	0
1820	treat	0	0
1820	trust	0	0
1820	try	1	63
1820	turn	0	33
1820	understand	0	20
1820	use	0	11
1820	visit	2	13
1820	vote	0	0
1820	wait	0	18
1820	wake	0	0
1820	walk	1	8
1820	want	0	12
1820	wash	0	0
1820	waste	0	0
1820	watch	0	18
1820	wear	0	7
1820	win	0	1
1820	work	0	18
1820	write	0	41
1820	yield	0	21
1830	accept	0	21
1830	act	0	25
1830	add	2	48
1830	admit	0	70
1830	affect	0	10
1830	afford	0	46
1830	agree	0	30
1830	allow	0	86
1830	answer	2	116
1830	appear	0	122
1830	apply	0	28
1830	arise	0	19
1830	arrest	0	0
1830	arrive	0	7
1830	ask	3	42
1830	attack	0	0
1830	attempt	0	12
1830	attend	0	34
1830	be	37	6654
1830	bear	0	114
1830	beat	0	0
1830	become	0	146
1830	begin	4	37
1830	believe	0	66
1830	benefit	0	5
1830	blow	1	0
1830	break	2	43
1830	bring	2	141
1830	build	1	3
1830	burn	1	16
1830	bury	2	0
1830	buy	1	11
1830	call	2	74
1830	carry	6	44
1830	catch	0	0
1830	cause	1	36
1830	cease	0	30
1830	change	0	27
1830	check	0	0
1830	choose	0	9
1830	clean	0	0
1830	clear	0	0
1830	climb	0	0
1830	close	0	15
1830	come	1	288
1830	consider	0	30
1830	contain	0	35
