collocate	1810	1820	1830	1840	1850	1860	1870	1880	1890	1900	1910	1920	1930	1940	1950	1960	1970	1980	1990	2000
accept	2	14	21	29	42	76	63	64	65	74	58	79	57	65	76	72	61	63	49	37
act	4	25	25	32	37	27	39	36	37	35	37	60	62	51	45	42	35	20	20	20
add	6	30	48	47	56	40	50	47	48	52	46	47	46	47	53	46	64	35	46	54
admit	14	59	70	66	70	48	62	71	63	54	60	77	45	28	33	32	27	25	22	22
affect	0	6	10	13	16	11	14	14	13	24	26	27	33	29	34	54	43	45	71	51
afford	10	35	46	37	59	32	31	32	26	29	21	19	23	11	8	4	4	6	3	4
agree	3	24	30	36	36	42	41	44	47	63	56	89	74	70	62	45	42	42	25	22
allow	5	42	86	111	95	106	109	71	92	83	80	54	55	60	54	61	91	112	167	150
answer	17	67	116	95	117	91	93	90	81	84	50	54	31	27	26	28	23	26	26	21
appear	22	98	122	130	93	92	84	80	66	97	75	110	117	77	75	87	52	58	91	75
apply	6	12	28	30	25	32	11	11	21	17	18	26	28	21	28	19	21	26	9	15
arise	3	24	19	30	34	18	14	26	24	36	30	26	24	22	14	16	13	7	10	5
arrive	5	6	7	13	21	18	14	11	23	21	20	36	34	35	37	37	28	18	37	27
ask	4	30	42	75	45	49	61	88	87	90	92	89	96	100	106	79	83	57	68	53
attempt	3	10	12	12	10	18	14	13	10	14	16	29	20	30	25	40	27	35	23	21
attend	4	21	34	23	22	27	41	47	25	47	41	41	36	21	32	23	26	13	20	25
be	891	3641	6654	7170	7765	7944	8405	9609	9423	10518	10642	13869	12976	12728	11231	10653	9866	9705	9497	8957
bear	10	57	114	122	146	80	84	91	70	91	66	67	66	50	49	34	32	26	28	23
become	26	106	146	186	178	168	194	205	191	183	184	227	207	293	231	282	233	273	335	335
begin	4	19	37	42	47	52	59	91	83	116	101	159	131	138	129	137	183	146	162	155
believe	5	41	66	48	47	47	66	40	58	62	30	39	36	26	16	20	27	26	20	20
benefit	0	3	5	4	4	2	7	10	6	11	8	28	39	23	33	32	40	34	62	78
break	8	17	43	54	56	52	34	86	53	71	53	59	51	46	55	37	43	46	48	44
bring	14	75	141	185	144	220	229	249	250	272	244	319	260	247	202	170	182	208	183	204
build	0	0	3	15	19	19	15	19	11	16	26	32	30	42	48	47	26	41	30	31
burn	2	7	16	16	14	19	20	27	17	20	14	25	15	15	14	22	17	26	31	18
buy	6	6	11	30	38	22	39	56	31	52	33	51	58	66	63	40	51	72	59	41
call	10	49	74	104	101	98	137	143	116	118	89	122	110	69	74	85	81	86	100	76
carry	4	23	44	63	74	67	74	85	105	100	93	149	118	106	88	102	55	95	67	70
cause	2	18	36	32	50	36	47	52	53	61	75	81	60	50	58	67	67	56	75	57
cease	10	23	30	58	32	29	45	55	36	40	50	35	20	24	27	27	19	11	20	18
change	2	10	27	29	28	18	51	35	37	42	45	53	57	50	49	79	74	113	112	131
choose	1	5	9	17	11	16	11	25	21	17	18	27	10	20	30	24	26	28	29	30
close	0	6	15	20	20	17	13	25	19	11	24	30	29	12	12	21	24	28	20	27
come	27	153	288	399	501	518	638	783	695	784	714	757	604	649	581	550	615	640	551	516
consider	7	15	30	29	26	31	31	53	49	40	21	44	42	35	51	47	34	36	43	34
contain	0	8	35	10	29	10	12	10	19	23	20	30	32	27	19	26	10	23	24	10
continue	6	45	71	100	111	99	107	141	139	140	207	371	332	373	376	414	419	432	412	418
cost	1	10	21	12	27	44	32	54	41	52	62	77	88	123	105	116	99	108	103	94
cover	2	2	20	6	15	15	19	21	14	26	21	24	34	45	32	27	24	25	40	35
create	1	4	6	14	15	9	13	13	11	11	19	29	17	31	20	22	35	40	68	46
cut	2	8	24	21	18	18	20	28	17	45	24	20	26	43	45	39	40	36	47	50
decide	3	11	10	12	18	16	23	26	27	20	24	43	58	58	61	57	60	54	55	51
deliver	4	5	4	20	28	17	19	11	19	10	17	21	25	24	26	18	18	23	22	26
demand	1	6	13	8	13	15	12	22	23	21	30	27	23	25	22	30	28	21	17	15
depend	7	14	50	45	70	53	28	58	52	80	79	103	139	117	103	102	95	58	71	48
destroy	3	17	25	30	24	17	17	21	19	18	19	29	41	23	35	41	43	37	24	29
determine	3	4	12	8	9	6	13	15	16	16	22	22	27	39	40	51	39	39	48	38
develop	0	1	0	5	6	9	7	9	17	22	40	44	48	40	29	35	30	40	36	30
die	6	31	87	102	59	70	97	93	67	71	53	79	64	82	108	92	79	109	98	126
disappear	0	2	5	6	9	13	20	20	21	32	30	21	25	29	13	24	19	32	32	21
discover	3	12	26	29	21	19	20	20	28	32	23	33	29	19	25	16	28	18	19	16
do	54	250	586	631	818	779	871	967	878	938	814	782	644	634	549	576	556	595	521	523
draw	4	16	33	25	38	19	31	27	21	35	32	34	31	30	19	17	18	23	33	23
drive	4	16	33	33	37	26	47	44	39	42	36	38	35	41	33	32	38	32	37	49
drop	3	6	14	10	16	17	14	32	22	23	25	31	22	28	28	39	28	44	35	33
eat	2	11	18	15	20	24	27	18	26	33	34	46	38	20	26	41	31	39	48	40
enable	9	66	82	82	97	85	73	73	93	67	66	103	82	94	64	78	60	44	81	52
end	5	12	28	34	21	42	48	50	44	45	48	60	64	71	50	61	89	88	93	85
enjoy	2	6	19	21	9	28	29	24	34	24	41	36	30	21	31	25	31	25	35	35
enter	3	17	19	44	31	27	30	27	25	33	34	40	29	25	33	35	26	15	34	23
excuse	1	23	45	29	37	51	58	69	67	49	38	37	31	23	30	25	13	20	4	13
explain	6	24	41	38	60	35	73	75	65	60	49	32	42	27	24	27	22	26	15	22
face	0	0	3	1	3	5	8	4	4	9	8	17	16	45	28	45	41	56	71	94
fail	2	8	24	31	34	35	36	32	29	38	45	46	29	33	30	24	26	29	33	26
fall	10	29	58	62	92	79	71	80	56	79	86	54	56	83	63	96	63	97	81	62
feel	8	43	70	70	78	76	83	82	70	70	77	84	72	62	40	68	64	51	76	80
fight	0	14	25	26	29	32	38	40	47	48	58	86	52	85	83	36	50	43	38	40
fill	1	7	19	30	26	9	22	23	33	21	32	18	31	22	19	13	19	24	25	35
find	41	255	563	549	643	550	688	713	648	699	559	658	478	438	416	331	356	338	325	318
fly	6	22	27	30	23	10	12	25	17	9	13	27	32	24	52	58	39	30	34	21
follow	22	67	93	134	106	114	125	123	136	139	125	134	109	94	101	91	108	103	130	96
force	4	2	11	12	13	18	14	17	12	23	21	35	28	18	20	26	33	34	33	21
forget	3	11	25	38	35	25	38	44	40	33	35	35	18	19	23	17	16	12	21	22
forgive	2	34	38	37	45	38	60	71	45	47	37	36	28	45	33	19	25	27	12	19
form	6	22	46	41	35	24	28	17	29	43	24	35	24	20	18	24	15	25	14	25
furnish	8	32	41	38	44	31	37	39	38	46	47	49	20	24	10	9	6	9	2	3
gain	1	11	23	25	30	27	22	22	24	22	21	28	25	12	27	22	24	18	28	15
get	3	25	80	107	172	191	228	329	293	316	364	411	332	451	427	429	395	353	436	466
give	50	256	426	477	532	531	580	688	622	648	556	587	472	446	434	379	349	282	343	314
